-1.465	0.800
-1.459	0.782
-1.452	0.763
-1.445	0.743
-1.437	0.721
-1.429	0.698
-1.420	0.674
-1.410	0.649
-1.400	0.622
-1.390	0.595
-1.378	0.566
-1.366	0.535
-1.353	0.503
-1.339	0.470
-1.325	0.436
-1.309	0.400
-1.293	0.363
-1.275	0.325
-1.256	0.286
-1.236	0.245
-1.214	0.203
-1.191	0.159
-1.167	0.114
-1.140	0.069
-1.112	0.022
-1.081	-0.026
-1.048	-0.075
-1.012	-0.125
-0.973	-0.176
-0.932	-0.227
-0.886	-0.278
-0.838	-0.329
-0.785	-0.379
-0.727	-0.429
-0.665	-0.476
-0.598	-0.521
-0.526	-0.563
-0.449	-0.600
-0.367	-0.632
-0.280	-0.657
-0.191	-0.675
-0.098	-0.684
-0.004	-0.683
0.089	-0.674
0.182	-0.654
0.271	-0.625
0.356	-0.588
0.435	-0.543
0.509	-0.492
0.576	-0.435
0.637	-0.374
0.691	-0.311
0.738	-0.245
0.780	-0.179
0.816	-0.112
0.846	-0.045
0.872	0.021
0.894	0.086
0.913	0.149
0.928	0.212
0.940	0.272
0.949	0.331
0.956	0.388
0.962	0.444
0.965	0.498
0.967	0.550
0.967	0.600
0.966	0.648
0.964	0.695
0.961	0.740
0.957	0.784
0.953	0.825
0.947	0.866
0.941	0.905
0.935	0.942
0.928	0.978
0.920	1.012
0.912	1.045
0.904	1.077
0.895	1.107
0.886	1.136
0.877	1.163
0.867	1.189
0.858	1.214
0.848	1.238
0.837	1.260
0.827	1.281
0.816	1.301
0.805	1.319
0.795	1.337
0.783	1.353
0.772	1.368
0.761	1.382
0.750	1.394
0.738	1.406
0.726	1.416
0.715	1.425
0.703	1.433
0.691	1.440
0.679	1.446
0.667	1.450
0.655	1.454
0.643	1.456
0.630	1.457
0.618	1.458
0.606	1.457
0.593	1.455
0.581	1.451
0.569	1.447
0.556	1.442
0.543	1.436
0.531	1.428
0.518	1.420
0.506	1.410
0.493	1.399
0.480	1.388
0.468	1.375
0.455	1.361
0.442	1.346
0.429	1.330
0.416	1.313
0.403	1.295
0.391	1.276
0.378	1.256
0.365	1.235
0.352	1.213
0.339	1.190
0.326	1.166
0.313	1.140
0.300	1.114
0.287	1.087
0.274	1.058
0.261	1.029
0.248	0.998
0.235	0.967
0.222	0.935
0.208	0.901
0.195	0.867
0.182	0.831
0.169	0.794
0.156	0.757
0.143	0.718
0.129	0.679
0.116	0.638
0.103	0.596
0.090	0.553
0.076	0.510
0.063	0.465
0.049	0.419
0.036	0.372
0.022	0.324
0.008	0.274
-0.006	0.223
-0.022	0.171
-0.039	0.114
-0.057	0.045
-0.030	-0.045
0.054	-0.056
0.118	-0.023
0.166	0.019
0.208	0.062
0.245	0.104
0.280	0.145
0.314	0.185
0.347	0.224
0.379	0.261
0.411	0.298
0.442	0.333
0.473	0.367
0.504	0.399
0.534	0.431
0.564	0.462
0.594	0.491
0.623	0.519
0.653	0.546
0.682	0.572
0.711	0.597
0.740	0.621
0.768	0.644
0.797	0.665
0.825	0.685
0.853	0.705
0.881	0.723
0.908	0.740
0.936	0.755
0.963	0.770
0.990	0.783
1.016	0.796
1.043	0.807
1.069	0.816
1.095	0.825
1.120	0.833
1.146	0.839
1.171	0.844
1.195	0.848
1.220	0.851
1.244	0.852
1.267	0.853
1.291	0.852
1.313	0.849
1.336	0.846
1.358	0.841
1.380	0.835
1.401	0.828
1.422	0.820
1.442	0.810
1.462	0.799
1.481	0.787
1.500	0.773
1.518	0.758
1.535	0.742
1.552	0.725
1.568	0.706
1.584	0.686
1.598	0.665
1.612	0.642
1.625	0.618
1.638	0.593
1.649	0.567
1.659	0.539
1.669	0.510
1.677	0.479
1.685	0.447
1.691	0.414
1.696	0.380
1.700	0.345
1.702	0.308
1.704	0.270
1.703	0.231
1.702	0.190
1.698	0.149
1.693	0.106
1.687	0.062
1.678	0.017
1.668	-0.029
1.655	-0.075
1.641	-0.123
1.624	-0.172
1.605	-0.221
1.584	-0.271
1.560	-0.322
1.534	-0.372
1.505	-0.424
1.473	-0.475
1.438	-0.527
1.400	-0.578
1.359	-0.629
1.315	-0.680
1.267	-0.730
1.216	-0.779
1.161	-0.826
1.103	-0.872
1.041	-0.916
0.976	-0.958
0.906	-0.998
0.834	-1.034
0.757	-1.067
0.677	-1.096
0.594	-1.121
0.508	-1.140
0.419	-1.155
0.328	-1.164
0.234	-1.166
0.139	-1.162
0.043	-1.150
-0.053	-1.131
-0.149	-1.104
-0.244	-1.069
-0.336	-1.025
-0.426	-0.973
-0.511	-0.913
-0.591	-0.844
-0.665	-0.768
-0.732	-0.684
-0.790	-0.594
-0.840	-0.497
-0.879	-0.396
-0.908	-0.291
-0.925	-0.183
-0.931	-0.074
-0.925	0.034
-0.907	0.142
-0.877	0.247
-0.836	0.347
-0.784	0.442
-0.722	0.530
-0.651	0.611
-0.571	0.682
-0.484	0.744
-0.391	0.796
-0.293	0.836
-0.191	0.865
-0.087	0.883
0.018	0.889
0.123	0.882
0.227	0.865
0.327	0.836
0.424	0.796
0.516	0.746
0.602	0.686
0.681	0.617
0.752	0.540
0.814	0.456
0.868	0.366
0.911	0.270
0.945	0.171
0.968	0.069
0.980	-0.035
0.982	-0.139
0.974	-0.243
0.956	-0.346
0.929	-0.446
0.892	-0.542
0.847	-0.635
0.794	-0.722
0.734	-0.804
0.667	-0.880
0.595	-0.950
0.518	-1.013
0.437	-1.069
0.353	-1.118
0.266	-1.160
0.178	-1.195
0.088	-1.223
-0.002	-1.244
-0.092	-1.260
-0.182	-1.269
-0.271	-1.272
-0.358	-1.270
-0.444	-1.262
-0.528	-1.250
-0.609	-1.233
-0.688	-1.213
-0.764	-1.188
-0.837	-1.160
-0.908	-1.129
-0.975	-1.095
-1.040	-1.059
-1.101	-1.021
-1.159	-0.980
-1.214	-0.938
-1.266	-0.895
-1.316	-0.851
-1.362	-0.805
-1.405	-0.759
-1.445	-0.712
-1.483	-0.665
-1.517	-0.617
-1.549	-0.570
-1.579	-0.522
-1.606	-0.475
-1.631	-0.428
-1.653	-0.381
-1.673	-0.335
-1.691	-0.289
-1.707	-0.244
-1.720	-0.199
-1.732	-0.155
-1.742	-0.113
-1.750	-0.070
-1.756	-0.029
-1.761	0.011
-1.764	0.050
-1.765	0.088
-1.765	0.125
-1.764	0.162
-1.761	0.197
-1.757	0.230
-1.751	0.263
-1.745	0.295
-1.737	0.325
-1.728	0.354
-1.718	0.382
-1.707	0.409
-1.694	0.434
-1.681	0.459
-1.667	0.482
-1.652	0.504
-1.636	0.524
-1.620	0.544
-1.602	0.562
-1.584	0.578
-1.565	0.594
-1.545	0.608
-1.525	0.622
-1.504	0.633
-1.482	0.644
-1.459	0.653
-1.437	0.661
-1.413	0.668
-1.389	0.674
-1.364	0.678
-1.339	0.681
-1.313	0.683
-1.287	0.684
-1.260	0.683
-1.233	0.681
-1.206	0.678
-1.178	0.674
-1.149	0.668
-1.120	0.661
-1.091	0.653
-1.061	0.644
-1.031	0.634
-1.001	0.622
-0.970	0.609
-0.939	0.595
-0.908	0.580
-0.876	0.564
-0.844	0.546
-0.812	0.527
-0.779	0.507
-0.746	0.486
-0.712	0.463
-0.679	0.440
-0.645	0.415
-0.610	0.389
-0.576	0.362
-0.541	0.333
-0.505	0.303
-0.470	0.272
-0.433	0.239
-0.397	0.206
-0.359	0.170
-0.321	0.133
-0.282	0.094
-0.241	0.053
-0.197	0.009
-0.145	-0.039
-0.072	-0.084
0.027	-0.090
0.102	-0.029
0.128	0.050
0.129	0.124
0.118	0.190
0.102	0.250
0.084	0.305
0.065	0.358
0.045	0.408
0.024	0.456
0.003	0.502
-0.017	0.546
-0.038	0.589
-0.059	0.630
-0.081	0.671
-0.102	0.709
-0.123	0.747
-0.144	0.784
-0.165	0.819
-0.186	0.853
-0.207	0.886
-0.228	0.918
-0.249	0.948
-0.270	0.978
-0.291	1.007
-0.312	1.034
-0.333	1.060
-0.354	1.085
-0.375	1.109
-0.396	1.132
-0.417	1.154
-0.437	1.175
-0.458	1.194
-0.479	1.213
-0.499	1.230
-0.520	1.247
-0.541	1.262
-0.561	1.276
-0.581	1.289
-0.602	1.300
-0.622	1.311
-0.642	1.321
-0.662	1.329
-0.683	1.336
-0.702	1.342
-0.722	1.347
-0.742	1.351
-0.762	1.354
-0.781	1.355
-0.801	1.355
-0.820	1.354
-0.840	1.352
-0.859	1.349
-0.878	1.344
-0.896	1.338
-0.915	1.331
-0.934	1.323
-0.952	1.314
-0.970	1.303
-0.988	1.291
-1.005	1.278
-1.023	1.263
